0xE31FEB46, clientids_shared
0x45490BB0, godmode
0xFB12546B, unlimitedammo
0xF5718D68, clone
0x80273A9F, restartmap
0x7680C97, stringslidertest
0xA137E8FA, intslidertest
0x2B133F2D, playergivescore
0x32992239, playertakescore
0xFACDA657, maxammo
0x931B82D8, firesale
0x7739D82A, bonuspoints
0xD534B32D, freeperk
0x4C0B981A, nuke
0xE70B4B5E, heroweapon
0x5724BBFE, instakill
0xBC74AAB9, doublepoints
0xA6D44F5F, carpenter
0x32B4992A, achievements
0x96E7B2AD, thirdperson
0x79865019, unlimitedsprint
0xA678AACB, notarget
0xE97D64F5, promod
0xCC228CB8, giveweapon
0x3BCFEED7, gwasd
0xFD896A0A, upgradeweapon
0x6802828A, starttelegun
0xB06FCAB, teleporttocrosshair
0xCC451473, vector_scal
0xDF7F2524, hidegun
0x7CE72E88, bo4_giveperk
0xFBA2D3AB, killallzombies
0x3751C037, teleportzombies
0xEF6FDE7, startzombieposistion
0x2587BCC8, setzombieposition
0xB6CF9FC3, boxprice
0xD4A3A745, antiquit
0xE4BCA7ED, dropweapon
0x21DA2E39, takeweapons
0xD153EDCF, takecurrentweapon
0x14A5EBEA, bo4level55
0x5F719F88, bo4_maxlevels
0xC31EE9A6, bo4_unlockcamos
0x7F72A9F0, bo4_toggleaimbot
0x7CD742AF, bo4_aimbot
0x6E5E0361, showallboxes
0xCC780E12, modelspawntest
0x66A1C439, lunawolf
0xCC70A252, round999
0xE534526F, stats_totalplayed
0x7EB42A63, stats_highestreached
0x796A24A1, stats_mostkills
0x229EE25A, stats_mostheadshots
0x94F3643C, stats_round
0xC4B2B03F, bo4_addbotstogame
0xD299199E, bo4_openthedoors
0x2B2D9B41, bo4_camogiver
0xE68198A9, bo4papunlock
0xCB1AF0DC, bo4percenter
0x8C67B930, pspeed
0x4C3D7031, giveallperks
0x3799D5F3, selfinstakill
0x3980C36E, savelocation
0xA0067321, tptochest
0x995A33DD, bo4freezebox
0xB896CA3C, multijump
0xBAC7C504, superjump
0xDF2FE236, allsuperjump
0x94552BF0, superspeed
0x9A82A75F, bo4nofalldam
0xC75A6C18, antijoin
0x19E1ECBF, b4gravity
0x607FEE8, __init__sytem__
0xAD5512EB, __init__
0x9284135D, init
0x64495C7, onplayerspawned
0xFF744AA4, initializevarsprecaches
0xFE82A6A3, playersetup
0xC41A2BD6, definevariables
0x79E76B77, runmenuindex
0x29DCBF65, menuoptionsplayer
0xA799E2BF, menumonitor
0x7F84C482, executefunction
0xA07F1FE6, drawtext
0x80D06FE2, refreshmenu
0xB75B4DEF, openmenu1
0x293FF04B, monitormenurefresh
0xE4F0A516, closemenu1
0x23AB70D1, destroyopts
0x6BC17C0, addmenu
0x34AC3143, addopt
0xDDD38791, addoptbool
0x36F1C5CA, addoptincslider
0xCC842204, addoptslider
0xE6756E11, newmenu
0x2CBD7F70, getname
0x717C7276, isinmenu
0x18F58E41, isinarray
0x1AFD2999, arrayremove
0x299FBB36, getcurrent
0xF67BF877, getcursor
0x7BF8F6D4, setcursor
0x89098611, setslider
0xD2679ABC, setincslider
0x875F164A, backmenu
0x33423BED, playerexitlevel
0x73EF152F, setverification
0x54F10114, setverificationallplayers
0x4A91E9AA, getverification
0xC9566E3D, hasmenu
0x6A0A7578, ar_accurate
0x8A8DF5E9, ar_fastfire
0x72756B56, ar_damage
0x3C4B74A, ar_stealth
0xF7A0139F, ar_modular
0xFE38B678, ar_mg1909
0x8B82CA46, smg_standard
0x95F7B078, smg_handling
0x1CDEAD90, smg_fastfire
0x71EA7DDB, smg_capacity
0x5D0A0470, smg_accurate
0xEE983D1B, smg_drum_pistol
0xF797920A, tr_powersemi
0x79FB2860, tr_longburst
0xE7486FC6, tr_midburst
0x9EAF69C8, lmg_heavy
0x7D2744AA, lmg_spray
0x2847481E, lmg_standard
0xAB4F5626, sniper_fastrechamber
0x556363F0, sniper_powerbolt
0x6E4080D1, sniper_powersemi
0xDFC36BBE, sniper_quickscope
0x91567F97, pistol_burst
0x62A0D50A, pistol_revolver
0x8EFD681D, pistol_standard
0x8183FDA6, pistol_topbreak
0x671E489E, shotgun_pump
0x3708C7D3, shotgun_semiauto
0xD0BE00C9, shotgun_trenchgun
0x8C24907B, launcher_standard
0x6DF7BBC2, minigun
0x74408125, player
0x99E49F55, isdefined
0x3641C11C, undefined
0x8302B711, true
0x53E0F7A2, enableinvulnerability
0xC4C47E56, disableinvulnerability
0x3C60C590, givemaxammo
0x9362DFB2, getcurrentweapon
0x43DA1FEA, setweaponammoclip
0x98D06C26, clipsize
0xD85855D8, spawn_player_clone
0xF1CA5EF1, self
0x6BBA65DA, util
0xBB1A4DBE, map_restart
0x64D4CA9D, string
0x61F222E, iprintlnbold
0x4A4C1D5B, int
0x32AB1CAA, value
0xB172DFF4, add_to_player_score
0x2B741F8, zm_score
0x3802F94D, minus_to_player_score
0x78A265B, specific_powerup_drop
0x4975DD0E, origin
0x4BA91026, zm_powerups
0x2E4E67D4, 5377f3cd-cc77-4ce6-b906-571e317d3be2
0xB493FDEC, 2a93e929-1101-4f90-a776-18b8b44af360
0xFACE9C69, a864033c-a360-4f5d-b1f6-f9c97737c452
0x340AAB30, d3c3d611-ad28-4f11-95e8-3480c5b896c0
0xBD88798, achev
0xF87A98B6, 3a25d108-2ba7-45f1-9ba5-6993310ac83f
0xBFD57373, 67da0ac3-f354-4352-a805-8b6cd65ebc27
0x40CC5D76, 62e9c9ee-6766-4ef1-afa9-d573fb4ec5e9
0x20B882BD, 7ed0f895-78a3-4dfa-ab6a-a45f1c589fea
0x13319E43, d6ddbe5b-aa47-41b3-922b-2d020d75cfb2
0x854345EF, 6ad0a66b-0dc6-4554-ba3b-cb1ec0193752
0x76A31ECD, 7ce3e496-5904-41ed-af53-8759d15f45e3
0xA911E557, 62243cb4-a513-4e71-bae9-e38d00249149
0x3F358391, 48656e31-beef-4e3b-93d3-29c0f4999ba6
0xD6C09E4E, 91f3287e-5be7-4885-aaf9-4309f3257a53
0x3C88B20B, 25528f0b-d65d-4b73-a8ff-087b10953479
0xF9A57D45, 07694a45-a7b3-4db2-bd56-1a0532977555
0x6E4E73A8, 707f9e69-747c-4d2f-a4e8-5515853538a6
0x76C6EC4, 939fff2f-2381-4b34-8001-84b94a64b080
0x42462AD3, 54499d2c-c819-4b2c-a4d7-2e5da683d5e2
0x2606753C, c939fe31-c5e4-41e6-bc4d-c1c5c8b60ed0
0xDAA63B70, e4524f5d-8719-4f91-8e8a-b749f39c78bc
0x70FF5193, d5906b0e-2f1a-49d6-ba0c-98c286752c56
0x6E284CB4, 2a9a106a-0d99-49d5-9ecd-ca40c4fbd67a
0x6A7EECD1, e8b17918-b051-4ee9-9988-1b7eebe6d0f6
0x337E8A19, c99e23a1-2276-4e55-a8aa-2501b96f97b2
0xFA0F0441, 1d75b58f-ae1d-43a4-a408-17ec9e2fbc82
0x4073510A, ebd6dbd4-fd5f-429e-9b26-f2094bfc287c
0x54A26993, e0f4a4cd-1bd9-45b0-8225-82121163e710
0x8EECC0C, 6a55b784-0257-4cfc-94ae-0c38ad62f391
0x7E55BB80, 8d36dc65-c0cd-4c78-a995-fdaeb994b838
0x45517486, 93bf9dc4-9678-4fac-9299-e048290b79fc
0x1B505792, f28c213b-e18a-4023-aa4e-4aead830b55c
0x4D06F6A9, 28e03c0d-d133-4236-a660-536fc254b663
0x56F193B2, a389ae7f-9c70-4bdb-82a8-d246ae6333f2
0xFFB33631, c7f2c93f-1999-4e8d-9a90-d49112f8be89
0x29098D5F, 63f0afe5-6ae5-4826-9c01-6624fd301367
0x7E0E04A9, 8f1156a1-9f3c-4ecc-82ed-e88864b2a982
0x1FF6D4B3, f8b919a9-9777-4b3f-856f-53eb598d166d
0x665B1AE5, 828d8d8c-99ca-4f98-b683-b6771c22f989
0x848A5B66, 44941014-1463-4a51-86a2-55d18bdcc4d9
0x3194000F, 9255defd-4851-4c85-ad84-451643b92a4c
0x51447A8B, 24ed0ffa-c21e-45f0-a6f7-1d806e7da11f
0xDDE7E0A1, bfaafe97-678f-4a0a-a69d-7607df908de1
0x734CE45, 51fa1c3d-65f6-4a4c-b2dd-c3a58a435c97
0xF72EBD1C, gillam_var11
0x5655989, gillam_var10
0xD2CDA54A, gillam_var9
0xBD8D7ACA, gillam_var8
0xAF3BDE27, gillam_var7
0x99F2B395, gillam_var6
0x84A588FB, gillam_var5
0x3F10740, gillam_var4
0xF1BB62D5, gillam_var3
